[0]	train-rmse:128.47156	test-rmse:127.92306
Multiple eval metrics have been passed: 'test-rmse' will be used for early stopping.

Will train until test-rmse hasn't improved in 20 rounds.
[1]	train-rmse:99.99355	test-rmse:102.02186
[2]	train-rmse:81.82175	test-rmse:85.41632
[3]	train-rmse:69.16121	test-rmse:72.82599
[4]	train-rmse:60.58145	test-rmse:65.36443
[5]	train-rmse:54.90173	test-rmse:60.09271
[6]	train-rmse:50.81163	test-rmse:56.60635
[7]	train-rmse:47.69825	test-rmse:54.34291
[8]	train-rmse:45.43862	test-rmse:52.77086
[9]	train-rmse:43.67768	test-rmse:51.57130
[10]	train-rmse:42.22150	test-rmse:50.54426
[11]	train-rmse:41.20045	test-rmse:50.06790
[12]	train-rmse:40.29927	test-rmse:49.65062
[13]	train-rmse:39.58525	test-rmse:49.32337
[14]	train-rmse:38.96314	test-rmse:49.05218
[15]	train-rmse:38.27584	test-rmse:48.99317
[16]	train-rmse:37.83467	test-rmse:48.97900
[17]	train-rmse:37.14796	test-rmse:48.82615
[18]	train-rmse:36.73705	test-rmse:48.61236
[19]	train-rmse:36.14959	test-rmse:48.25369
[20]	train-rmse:35.44101	test-rmse:47.81794
[21]	train-rmse:34.98166	test-rmse:47.75570
[22]	train-rmse:34.64175	test-rmse:47.50785
[23]	train-rmse:34.18733	test-rmse:47.36630
[24]	train-rmse:33.95098	test-rmse:47.12790
[25]	train-rmse:33.60946	test-rmse:47.04376
[26]	train-rmse:33.37965	test-rmse:47.08196
[27]	train-rmse:33.11322	test-rmse:46.96070
[28]	train-rmse:32.72387	test-rmse:46.90441
[29]	train-rmse:32.49542	test-rmse:46.74476
[30]	train-rmse:32.12715	test-rmse:46.33658
[31]	train-rmse:31.86903	test-rmse:46.24977
[32]	train-rmse:31.51774	test-rmse:46.09619
[33]	train-rmse:31.27412	test-rmse:46.12957
[34]	train-rmse:30.97441	test-rmse:46.22605
[35]	train-rmse:30.69492	test-rmse:46.23897
[36]	train-rmse:30.49401	test-rmse:46.16566
[37]	train-rmse:30.30206	test-rmse:45.93973
[38]	train-rmse:29.96965	test-rmse:45.68378
[39]	train-rmse:29.74205	test-rmse:45.63240
[40]	train-rmse:29.47424	test-rmse:45.39294
[41]	train-rmse:29.11094	test-rmse:45.33054
[42]	train-rmse:28.86256	test-rmse:45.28081
[43]	train-rmse:28.66685	test-rmse:45.15112
[44]	train-rmse:28.51294	test-rmse:45.20454
[45]	train-rmse:28.32905	test-rmse:45.19414
[46]	train-rmse:28.14517	test-rmse:45.16988
[47]	train-rmse:27.88768	test-rmse:45.04014
[48]	train-rmse:27.60582	test-rmse:45.01169
[49]	train-rmse:27.47336	test-rmse:45.13629
[50]	train-rmse:27.25239	test-rmse:45.15352
[51]	train-rmse:27.04101	test-rmse:45.09860
[52]	train-rmse:26.89331	test-rmse:45.03270
[53]	train-rmse:26.78129	test-rmse:45.01569
[54]	train-rmse:26.67134	test-rmse:44.95442
[55]	train-rmse:26.46523	test-rmse:44.82896
[56]	train-rmse:26.29003	test-rmse:44.81411
[57]	train-rmse:26.03745	test-rmse:44.76371
[58]	train-rmse:25.83093	test-rmse:44.72365
[59]	train-rmse:25.74130	test-rmse:44.73567
[60]	train-rmse:25.57546	test-rmse:44.70201
[61]	train-rmse:25.42930	test-rmse:44.73134
[62]	train-rmse:25.28844	test-rmse:44.64805
[63]	train-rmse:25.13500	test-rmse:44.59619
[64]	train-rmse:25.04808	test-rmse:44.57261
[65]	train-rmse:24.97010	test-rmse:44.56531
[66]	train-rmse:24.82955	test-rmse:44.53673
[67]	train-rmse:24.70360	test-rmse:44.44958
[68]	train-rmse:24.55809	test-rmse:44.33584
[69]	train-rmse:24.46467	test-rmse:44.38524
[70]	train-rmse:24.36785	test-rmse:44.36089
[71]	train-rmse:24.22876	test-rmse:44.34516
[72]	train-rmse:24.04192	test-rmse:44.34862
[73]	train-rmse:23.92726	test-rmse:44.34904
[74]	train-rmse:23.84670	test-rmse:44.32524
[75]	train-rmse:23.69975	test-rmse:44.24146
[76]	train-rmse:23.58735	test-rmse:44.20338
[77]	train-rmse:23.43044	test-rmse:44.19253
[78]	train-rmse:23.35533	test-rmse:44.14602
[79]	train-rmse:23.22199	test-rmse:44.12338
[80]	train-rmse:23.14229	test-rmse:44.06566
[81]	train-rmse:23.06856	test-rmse:44.06993
[82]	train-rmse:22.91434	test-rmse:44.01070
[83]	train-rmse:22.83045	test-rmse:43.92644
[84]	train-rmse:22.75429	test-rmse:43.92505
[85]	train-rmse:22.65393	test-rmse:43.94478
[86]	train-rmse:22.60132	test-rmse:43.92418
[87]	train-rmse:22.48848	test-rmse:43.88581
[88]	train-rmse:22.39070	test-rmse:43.90290
[89]	train-rmse:22.33946	test-rmse:43.90317
[90]	train-rmse:22.26003	test-rmse:43.88473
[91]	train-rmse:22.16413	test-rmse:43.79179
[92]	train-rmse:22.11745	test-rmse:43.78487
[93]	train-rmse:22.07574	test-rmse:43.81990
[94]	train-rmse:22.02570	test-rmse:43.74874
[95]	train-rmse:21.98361	test-rmse:43.72351
[96]	train-rmse:21.92188	test-rmse:43.71137
[97]	train-rmse:21.87217	test-rmse:43.70904
[98]	train-rmse:21.74961	test-rmse:43.66078
[99]	train-rmse:21.69593	test-rmse:43.63149
[100]	train-rmse:21.60932	test-rmse:43.61517
[101]	train-rmse:21.53511	test-rmse:43.55559
[102]	train-rmse:21.47275	test-rmse:43.58470
[103]	train-rmse:21.41170	test-rmse:43.60443
[104]	train-rmse:21.37600	test-rmse:43.60972
[105]	train-rmse:21.34684	test-rmse:43.61774
[106]	train-rmse:21.31445	test-rmse:43.59323
[107]	train-rmse:21.26815	test-rmse:43.55289
[108]	train-rmse:21.22694	test-rmse:43.58828
[109]	train-rmse:21.13669	test-rmse:43.56858
[110]	train-rmse:21.10753	test-rmse:43.55979
[111]	train-rmse:21.03089	test-rmse:43.52516
[112]	train-rmse:20.99284	test-rmse:43.52834
[113]	train-rmse:20.96595	test-rmse:43.51690
[114]	train-rmse:20.93360	test-rmse:43.52947
[115]	train-rmse:20.90706	test-rmse:43.52434
[116]	train-rmse:20.83161	test-rmse:43.46956
[117]	train-rmse:20.76869	test-rmse:43.46449
[118]	train-rmse:20.66886	test-rmse:43.39127
[119]	train-rmse:20.61035	test-rmse:43.37511
[120]	train-rmse:20.57481	test-rmse:43.38893
[121]	train-rmse:20.54708	test-rmse:43.38950
[122]	train-rmse:20.48543	test-rmse:43.38919
[123]	train-rmse:20.45663	test-rmse:43.37048
[124]	train-rmse:20.41634	test-rmse:43.36051
[125]	train-rmse:20.35512	test-rmse:43.36750
[126]	train-rmse:20.30272	test-rmse:43.29576
[127]	train-rmse:20.27858	test-rmse:43.27908
[128]	train-rmse:20.23739	test-rmse:43.29511
[129]	train-rmse:20.19792	test-rmse:43.30347
[130]	train-rmse:20.16005	test-rmse:43.24463
[131]	train-rmse:20.11910	test-rmse:43.22177
[132]	train-rmse:20.08960	test-rmse:43.17547
